setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
clZrC,359.1,Xue et al. (2004),Crystal,AAmJpv,C[n+]1cn(N)cn1.[O-]Cl(=O)(=O)=O,"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
KTsgX,371.1,Serbanovic et al. (2010),Crystal,ABEgLg,CCCC[N+](CCCC)=C(N(C)C)N(C)C.N#C[N-]C#N,dibutyltetramethylguanidinium dicyanamide,,,,,,
qrnDX,328.6,Aljuhani et al. (2019),Crystal,ABvNEr,Cc1ccc[n+](CC(=O)Nc2ccc(I)cc2F)c1.F[P-](F)(F)(F)(F)F,1-(2-((2-fluoro-4-iodophenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium hexafluorophosphate,,,,,,
bcpFq,283.1,Papaiconomou et al. (2006),Crystal,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
kPksZ,340.1,Liu et al. (2005b),Crystal,AAhyRW,COCC[n+]1ccn(C)c1.[Cl-],1-(2-methoxyethyl)-3-methylimidazolium chloride,,,,,,
PQfZB,342.95,Kick et al. (2013),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
Bryes,395.6,Ozdemir and Ozgun (2014),Crystal,ABEzRA,CCn1c(C)cc(C)[n+]1-c1ccccc1.CS(=O)(=O)[O-],"1-phenyl-2-ethyl-3,5-dimethylpyrazolium methanesulfonate",,,,,,
wWZpB,351.9,Liu et al. (2020e),Crystal,ABfuMw,CCCn1cc[n+](CCCC[n+]2ccn(CCC)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-propylimidazolium) bromide",,,,,,
ISlHl,325.1,Walst et al. (2015),Crystal,ABtBdY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCC)CCC,bis(dimethylamino)dipropylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
DwkuJ,335.1,Villanueva et al. (2015),Crystal,AAnEOY,CC[n+]1ccccc1.CS(=O)(=O)[O-],1-ethylpyridinium methanesulfonate,,,,,,
pxXXl,352.1,Javed et al. (2021),Crystal,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
NhwZu,284.6,Appetecchi et al. (2011),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
LroJb,331.1,El Bourakadi et al. (2019),Crystal,ACCrnT,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,3-methyl-1-octadecyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,,,,,,
NFyUx,394.2,Adeosun (1978),Crystal,ACLMPY,CCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCC,mercury(II) dodecanoate,,,,,,
eFGBP,279.1,Walst et al. (2015),Crystal,ABqQyG,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCC)C,bis(dimethylamino)(butylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
PINgC,309.1,Parajo et al. (2018),Crystal 1,ABGlzA,CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpiperidinium trifluoromethanesulfonate,,,,,,
vzsXr,276.1,Ma et al. (2015),Crystal,AAkKPA,CCC[n+]1ccccc1.N#C[N-]C#N,1-propylpyridinium dicyanamide,,,,,,
BwjFy,262.8,Domanska et al. (2009e),Crystal 1,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,,,,,,
uVvvp,377.1,Nakayama et al. (1989),Crystal,ABjRlX,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[O-]Cl(=O)(=O)=O,tetrahexylammonium perchlorate,,,,,,
VmPgh,285.8,Endo and Nishikawa (2013),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
RDPWb,503.1,Castaneda et al. (2008),Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
wFWNX,321.8,Ferdeghini et al. (2021),Crystal,ADMLut,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(octane-1,8-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
SxScz,352.1,Brunig et al. (2016),Crystal,AAnWPV,CC(C)[n+]1ccn(C)c1.[Br-],1-isopropyl-3-methylimidazolium bromide,,,,,,
mLlhL,272.2,Nemoto et al. (2015),Crystal,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,,,
phaVd,356.5,Liu et al. (2020e),Crystal,ABaZOu,Cc1cn(CCCCn2cc(C)[nH+]c2C)c(C)[nH+]1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(2,4-dimethylimidazolium) bromide",,,,,,
rYhew,408,Stolarska et al. (2018),Crystal,AAhARo,CCCC[n+]1ccccc1.[Cl-],1-butylpyridinium chloride,,,,,,
dzqXK,322.3,Domanska et al. (2010c),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
JwJrp,313.1,Ngo et al. (2000),Crystal,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
bCwpI,321.95,Er and Wang (2016),Crystal,ABEfqP,CCCCCC[NH2+]CCN.O=S(=O)([O-])C(F)(F)F,N-hexylethylenediammonium trifluoromethanesulfonate,,,,,,
XxGkl,506.15,Cervinka and Kriz (1966),Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
NLIwx,374.15,Zhang et al. (2007a),Crystal,ABEJrT,F[P-](F)(F)(F)(F)F.N#CCCC[n+]1ccccc1,N-butyronitrile pyridinium hexafluorophosphate,,,,,,
rGXHP,386,Pereiro et al. (2011),Crystal,ABVYDf,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],3-methyl-1-octadecylpyridinium chloride,,,,,,
ZMLwR,286.6,Wachter et al. (2010),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
CZssV,388.6,Zhang et al. (2018i),Crystal,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,,,,
FwpSz,275.1,Wachter et al. (2010),Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
QtptV,333.1,Serbanovic et al. (2010),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
kHMDf,351.1,Nakamoto and Watanabe (2007),Crystal,ABEqgr,CCCC[N+](C)(CCCC)CCCC.CS(=O)(=O)[O-],tributylmethylammonium methanesulfonate,,,,,,
pBRud,376.35,Yang et al. (2009b),Crystal,AAwjax,CC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,1-ethylpyridinium hexafluorophosphate,,,,,,
GREKZ,332.1,Thoppil et al. (2020),Crystal,ABXkJl,CCCCCCCCCCCCCCCC(=O)[O-].OCC[NH2+]c1ccccc1,N-phenylethanolammonium palmitate,,,,,,
syZHa,259.7,Khan et al. (2017a),Crystal,AAtLDp,N#CCCn1cc[nH+]c1.O=C([O-])C(F)(F)F,1-(2-cyanoethyl)imidazolium trifluoroacetate,,,,,,
hCiSg,287.1,Chun et al. (2001),Crystal,ABQHTW,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-nonyl-3-methylimidazolium hexafluorophosphate,,,,,,
qJBcn,245.2,Zhou et al. (2005),Crystal,ABcelP,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate",,,,,,
Guzdu,509.2,Abranches et al. (2019),Crystal,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,,,,,,
rwCcU,285.41,Domanska et al. (2003b),Crystal,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,,,
UKUQL,349.2,Zawadzki et al. (2020),Crystal 1,ABXOns,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([O-])C(F)(F)F,N-decyl-N-methylmorpholinium trifluoromethanesulfonate,,,,,,
PTnKq,323.1,El Bourakadi et al. (2019),Crystal,ACJVuc,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,1-hexadecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,,,,,,
FqGHS,266.6,Appetecchi et al. (2011),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ZIDty,369.4,Hazrati et al. (2017),Crystal,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,,,,
dVywK,360.75,Mod et al. (1967),Crystal,ABKzvg,CCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,tetradecanoic acid cyclohexanamine salt(1:1),,,,,,
jDDIP,270.1,Tokuda et al. (2006a),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
UbHyi,338.1,Xue et al. (2005),Crystal,AAshsX,CC[n+]1c([N+](=O)[O-])cn(C)c1C.O=[N+]([O-])[O-],"3-ethyl-1,2-dimethyl-4-nitro-1H-imidazol-3-ium nitrate",,,,,,
moLdg,352,Every et al. (2001),Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
sXKus,273.3,Marciniak and Krolikowski (2012b),Crystal,ACJQRv,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
FmmFJ,383.6,Neves et al. (2013a),Crystal 1,ABAcva,CCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-methyl-1-propylpyrrolidinium hexafluorophosphate,,,,,,
TefnF,341.94,Domanska and Bogel-Lukasik (2004),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
OeTsI,288.1,Zhou et al. (2005),Crystal 1,ABLjnq,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate",,,,,,
MRPZi,509,Zhou et al. (2011),Crystal,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,,,,
Fsbya,377,Sintra et al. (2019),Crystal,ABCrzq,COC(=O)[C@@H]1CCC[N+]1(C)C.[I-],"(S)-2-(methoxycarbonyl)-1,1-dimethylpyrrolidin-1-ium iodide",,,,,,
YOPYr,439.65,Takaizumi and Wakabayashi (1980b),Crystal,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,,,,
GWHRR,265.7,Shimizu et al. (2012),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
FjBBX,338,Nishikawa et al. (2007),Crystal 1,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
JqSdn,267.1,Yasuda et al. (2013),Crystal,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,,,,,,
NlIoj,333.1,Ngo et al. (2000),Crystal,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
SYfWr,318.4,Serbanovic et al. (2010),Crystal,ABPTKZ,CCCn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,1-benzyl-3-propylimidazolium trifluoromethanesulfonate,,,,,,
uvjGv,264,Kakinuma and Shirota (2019),Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
XUedI,361.1,Pereira et al. (2019),Crystal,ABYVqF,CCCC[P+](CCCC)(CCCC)CCCC(=O)OCC.[Br-],"N,N,N-tri(n-butyl)(4-ethoxy-4-oxobutyl)-1-phosphonium bromide",,,,,,
fhNSh,327.1,Zhou et al. (2005),Crystal 1,ABcKpG,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluorobutyl)borate",,,,,,
OyMMV,360.1,Kondratenko et al. (2021),Crystal,ABpeWv,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CC(=O)[O-],tris(2-hydroxypropyl)ammonium malonate,,,,,,
YoOjb,331.1,Dzyuba and Bartsch (2002a),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
WAgpm,307.1,Curnow et al. (2011),Crystal,ACOfgv,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCC)CCC)1c(N(CCC)CCC)[c+]1N(CCC)CCC,tris(dipropylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
TWagF,347.3,Shen et al. (2011a),Crystal,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,,,,
RwepX,294.1,Dzyuba and Bartsch (2002a),Crystal,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
FcNjC,270.7,Wachter et al. (2010),Crystal 1,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
RjLvo,314.1,Sakizadeh et al. (2007),Metastable crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
DrqLZ,365.9,Sudholter et al. (1982),Crystal 1,ABRflP,CCCCCCCCCCCCc1cc[n+](C)cc1.[O-]Cl(=O)(=O)=O,4-dodecyl-1-methylpyridinium perchlorate,,,,,,
rRmNI,343.6,Aljuhani et al. (2019),Crystal,ABZmdu,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.F[P-](F)(F)(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium hexafluorophosphate,,,,,,
wviVU,276.7,Stejfa et al. (2022),Metastable crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
LBuTV,295.6,Hazrati et al. (2017),Crystal,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
jpvIX,276.3,Xue et al. (2016),Crystal,ABiCNv,CC(C)CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(4-methylpentyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
mpyzq,339,Stolarska et al. (2016),Crystal,AAmiLp,CC[N+]1(C)CCCC1.F[B-](F)(F)F,1-ethyl-1-methylpyrrolidinium tetrafluoroborate,,,,,,
SLhrz,424.7,Krolikowska et al. (2018),Crystal,AAzdhy,CCOC(=O)C[N+]1(C)CCOCC1.[Br-],N-methyl-N-(2-ethoxy-2-oxoethyl)morpholinium bromide,,,,,,
tvwlx,284,Fillion et al. (2016),Crystal,ABTXlU,CCCCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,decyltriethylphosphonium 4-nitropyrazolide,,,,,,
QTwWy,293.1,Yasuda et al. (2013),Crystal,AAtgky,CCC[NH+](C)C.O=S(=O)([O-])C(F)(F)F,"N,N-dimethylpropan-1-aminium trifluoromethanesulfonate",,,,,,
rqfsL,352.1,Ngo et al. (2000),Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
mtFqW,361.6,Zimmer et al. (1968),Crystal,AAZimH,[NH3+]O.[O-]Cl(=O)(=O)=O,hydroxylammonium perchlorate,,,,,,
nFPto,319.4,Kawai et al. (2019),Crystal,ACQvPp,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-dodecylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
etLMs,360.1,Kondratenko et al. (2021),Crystal,ABNOSJ,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])C=Cc1ccccc1,tris(2-hydroxypropyl)ammonium cinnamate,,,,,,
OLtXv,325.1,Nakamoto and Watanabe (2007),Crystal,AAygrA,CC[NH+]1CCCCC1.O=S(=O)([O-])C(F)(F)F,N-ethylpiperidinium trifluoromethanesulfonate,,,,,,
LLpZw,226.4,Murray et al. (2013),Crystal,ACNhFN,CCCCC/C=C\C/C=C\CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
tzkFQ,272,Noda et al. (2001),Crystal,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,,,
rIBZE,374.1,Xue et al. (2005),Crystal,AArYgy,C[n+]1cn(N)cn1.[I-],"1-methyl-4-amino-1,2,4-triazolium iodide",,,,,,
bsLfd,464.1,Aljuhani et al. (2018),Crystal,ABEnkM,[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,1-(3-phenoxypropyl)pyridazin-1-ium bromide,,,,,,
TtPGQ,383.7,Adeosun and Sime (1978),Crystal 1,ACHFmj,CCCCCCCCCCC(=O)[O-].CCCCCCCCCCC(=O)[O-].[Pb+2],lead(2+) diundecanoate,,,,,,
nPOVG,272.11,Archer (2006),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
UNYEC,345.26,Zhu et al. (2009),Crystal,AAterB,F[B-](F)(F)F.OCC[NH+](CCO)CCO,tris(2-hydroxyethyl)ammonium tetrafluoroborate,,,,,,
acOOE,287.1,Dzyuba and Bartsch (2002a),Crystal,ABQHTW,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-nonyl-3-methylimidazolium hexafluorophosphate,,,,,,
yAmQS,286.1,Fredlake et al. (2004),Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
XrnUC,373.15,Coker et al. (1970),Crystal 1,ABuAum,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC.[I-],diheptyldihexylammonium iodide,,,,,,
GACSZ,337.1,Sashina et al. (2013),Crystal,AAxKwr,CCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-nonyl-3-methylpyridinium chloride,,,,,,
oqwyV,271,Fareghi-Alamdari and Hatefipour (2015),Crystal,ABHrdk,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,,,,,,
BHqnV,375,Kollau et al. (2018),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
RLHlg,383.1,Pereiro et al. (2011),Crystal,ABQElV,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-hexadecyl-3-methylpyridinium chloride,,,,,,
npIHN,399.4,Wilkes et al. (1982),Crystal,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",,,,,,
QfmuD,299.1,Sakizadeh et al. (2007),Crystal,ABNCBt,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-dodecyl-3-methylimidazolium tetrafluoroborate,,,,,,
XOphb,290.1,Curnow et al. (2011),Crystal,ABpfbd,[N-](C#N)C#N.c(N(CCCC)CCCC)1c(N(CCCC)CCCC)[c+]1N(CCCC)CCCC,tris(dibutylamino)cyclopropenium dicyanamide,,,,,,
JgjOq,365.1,Sashina et al. (2013),Crystal,AAhABv,CCC[n+]1cccc(C)c1.[Cl-],1-propyl-3-methylpyridinium chloride,,,,,,
hjKQL,305.2,Krolikowski et al. (2020b),Crystal,AAtgOf,N#CCCC[n+]1ccccc1.N#C[C-](C#N)C#N,N-(3-cyanopropyl)pyridinium tricyanomethanide,,,,,,
nwakd,291.4,Wachter et al. (2010),Crystal,AAwYRR,CCCn1cc[n+](C)c1.[I-],1-methyl-3-propylimidazolium iodide,,,,,,
BUVMb,350.6,Miao and Chan (2003),Crystal,ABhTwj,C[n+]1ccn(CCOC(=O)c2cccc(I)c2)c1.F[B-](F)(F)F,3-m-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,,,,,,
vuIgQ,339,Fillion et al. (2016),Crystal,ABFeXE,CCCCCCCC[P+](CC)(CC)CC.c1c[n-]nn1,"triethyloctylphosphonium 1,2,3-triazolide",,,,,,
oscSo,378.1,Lethesh et al. (2014),Crystal,AAyMyH,CC[N+]1=C2CCCCCN2CCC1.[Br-],"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium bromide",,,,,,
kiKbB,388.6,Zhang et al. (2019a),Crystal,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide",,,,,,
vlwrs,272,Shevelyova et al. (2007),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
akYSJ,288.1,Branco et al. (2002),Crystal,ABDBVM,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-(2-methoxyethyl)-3-methyl-imidazolium hexafluorophosphate,,,,,,
dmRQB,308.9,Domanska et al. (2006a),Crystal,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,,,
tUdrM,394.85,Jia et al. (2015),Crystal 1,ABMsMY,CCCC[n+]1csc2ccccc21.F[P-](F)(F)(F)(F)F,3-butylbenzo[d]thiazol-3-ium hexafluorophosphate(V),,,,,,
qYsZW,257.1,MacFarlane et al. (2001),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
mIhDf,299.1,Tokuda et al. (2006b),Crystal,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,,,,
emoyO,269.6,De La Hoz et al. (2014),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
vGdCl,383,Pereiro et al. (2011),Crystal,ABQElV,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-hexadecyl-3-methylpyridinium chloride,,,,,,
Cofkc,363.45,Zhang et al. (2007a),Crystal 1,AAjkls,CCCC[n+]1cccc(C)c1.[Cl-],3-(3-cyanopropyl)-1-methylimidazolium chloride,,,,,,
yoxjc,255.2,Salminen et al. (2007),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
YxStC,289.1,Ngo et al. (2000),Crystal,ABZxrn,CC(C)n1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
fxDmW,328,Vila et al. (2012),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
KJSBI,260.1,Nakamoto and Watanabe (2007),Crystal,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,,,,,,
